 HL = 5.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 1.203098
 HL = 1.000 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.216268
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.38 | Tmax = 0.080538
 HL = 2.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.282561
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 3.756843
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.07 | Tmax = 0.149752
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.007 | alpha = 1.36 | Tmax = 0.081674
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.11 | Tmax = 0.124754
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.050 | alpha = 1.02 | Tmax = 0.080865
 HL = 10.000 | t1//t0 = 200.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 2.290648
 HL = 0.500 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.27 | Tmax = 0.163745
 HL = 7.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 1.537973
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.37 | Tmax = 0.382870
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.500 | alpha = 1.15 | Tmax = 0.162124
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.003 | alpha = 1.17 | Tmax = 0.081858
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.29 | Tmax = 0.118859
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.500 | alpha = 1.07 | Tmax = 0.174064
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.130461
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 1.260043
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.42 | Tmax = 0.320511
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 1.155582
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 0.497879
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.194696
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.38 | Tmax = 0.082832
 HL = 5.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 0.923621
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.158795
 HL = 2.000 | t1//t0 = 190.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.502749
 HL = 0.500 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = 0.124574
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.15 | Tmax = 0.160821
 HL = 0.500 | t1//t0 = 200.000 | l1//l0 = 1.000 | alpha = 1.00 | Tmax = 0.129812
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.003 | alpha = 1.15 | Tmax = 0.099075
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.09 | Tmax = 0.181799
 HL = 5.000 | t1//t0 = 190.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 1.020935
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.090460
 HL = 7.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 1.528603
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 0.043352
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.134656
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 0.733372
 HL = 1.000 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.04 | Tmax = 0.281101
