 HL = 5.000 | t1//t0 = 80.000 | l1//l0 = 1.000 | alpha = 1.51 | Tmax = 0.107779
 HL = 15.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 1.193876
 HL = 15.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.237925
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.52 | Tmax = 0.072013
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.45 | Tmax = 1.248569
 HL = 18.000 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 3.843664
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.090989
 HL = 0.500 | t1//t0 = 100.000 | l1//l0 = 0.300 | alpha = 1.36 | Tmax = 0.126116
 HL = 0.500 | t1//t0 = 20.000 | l1//l0 = 0.100 | alpha = 1.37 | Tmax = 0.125490
 HL = 15.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.49 | Tmax = 3.336521
 HL = 15.000 | t1//t0 = 120.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 2.847953
 HL = 18.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 1.349726
 HL = 5.000 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.50 | Tmax = 0.529289
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 2.530426
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 1.444294
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.137925
 HL = 18.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 2.000827
 HL = 18.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.49 | Tmax = 3.950476
