 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.03 | Tmax = 0.144074
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.13 | Tmax = 0.291105
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.18 | Tmax = 0.124755
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.23 | Tmax = 0.161133
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.076725
 HL = 5.000 | t1//t0 = 120.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = Inf
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.09 | Tmax = 0.067087
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.00 | Tmax = 0.130666
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.21 | Tmax = 0.185910
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.10 | Tmax = 0.066221
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.002 | alpha = 1.30 | Tmax = 0.074118
 HL = 7.000 | t1//t0 = 190.000 | l1//l0 = 0.003 | alpha = 1.13 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.14 | Tmax = 0.130527
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.010 | alpha = 1.15 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.14 | Tmax = 0.063407
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.11 | Tmax = 0.063758
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.27 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.136697
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.17 | Tmax = 0.303509
 HL = 18.000 | t1//t0 = 70.000 | l1//l0 = 0.003 | alpha = 1.54 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.00 | Tmax = 0.143873
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.11 | Tmax = 0.296110
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.49 | Tmax = 1.037361
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.29 | Tmax = 0.076829
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.17 | Tmax = 0.096322
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.03 | Tmax = 0.147592
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.03 | Tmax = 0.140519
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.22 | Tmax = 0.095888
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.15 | Tmax = 0.147064
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.11 | Tmax = 0.149874
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = 0.136244
 HL = 15.000 | t1//t0 = 30.000 | l1//l0 = 0.003 | alpha = 1.53 | Tmax = Inf
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.53 | Tmax = 2.101976
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.007 | alpha = 1.42 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.20 | Tmax = 0.064811
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.36 | Tmax = 0.065499
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 0.240966
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.52 | Tmax = 0.772126
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.27 | Tmax = 0.334348
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.57 | Tmax = 0.567078
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.32 | Tmax = 0.368906
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.35 | Tmax = 0.453992
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.063730
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.42 | Tmax = 0.119209
