 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.111518
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.221523
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.322173
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.105550
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.324660
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.115094
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.339495
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.139581
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.237943
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.201263
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.141871
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.140849
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.224014
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.075655
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.079041
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.117291
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.308938
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.194086
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.103556
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.075855
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.215718
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.339500
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.324661
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.076032
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.319373
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.075656
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.075332
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.221524
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.143173
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.224021
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.322184
