 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.54 | Tmax = 0.478487
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.54 | Tmax = 0.476680
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.53 | Tmax = 0.069324
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.53 | Tmax = 0.651482
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 0.036564
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.54 | Tmax = 0.036629
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 0.470893
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.53 | Tmax = 0.069324
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.55 | Tmax = 0.244579
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 0.470893
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.54 | Tmax = 0.476680
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 0.470893
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.54 | Tmax = 0.036629
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.54 | Tmax = 0.036424
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.22 | Tmax = 0.122896
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.18 | Tmax = 0.144064
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.12 | Tmax = 0.151058
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.154414
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.30 | Tmax = 0.136821
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.121931
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.33 | Tmax = 0.359232
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.34 | Tmax = 0.080814
