 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 0.092495
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 0.081644
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.49 | Tmax = 1.743179
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.014162
 HL = 15.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.50 | Tmax = 3.616241
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.52 | Tmax = 1.301399
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.50 | Tmax = 1.067320
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = 0.136043
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.50 | Tmax = 1.098579
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.55 | Tmax = 0.314373
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 1.653168
 HL = 15.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 2.331877
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 0.369852
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.55 | Tmax = 1.451091
 HL = 10.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 0.942880
 HL = 15.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.52 | Tmax = 3.032848
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 0.046190
 HL = 15.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 1.193876
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 0.193173
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 0.364687
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.014983
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 1.577432
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.53 | Tmax = 0.033463
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.53 | Tmax = 0.907235
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 0.698684
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 0.571784
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.53 | Tmax = 0.343160
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 0.048770
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = 0.479587
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.53 | Tmax = 0.661748
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = 0.018335
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.561807
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 1.152871
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 0.019665
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 0.020022
 HL = 10.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.56 | Tmax = 0.009399
 HL = 10.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.56 | Tmax = 0.387211
 HL = 15.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.841364
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.09 | Tmax = 0.366940
 HL = 2.000 | t1//t0 = 150.000 | l1//l0 = 0.500 | alpha = 1.11 | Tmax = 0.496619
 HL = 10.000 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.55 | Tmax = 1.410249
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.001 | alpha = 1.37 | Tmax = 0.198703
 HL = 5.000 | t1//t0 = 110.000 | l1//l0 = 1.000 | alpha = 1.42 | Tmax = 0.634081
 HL = 2.000 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 0.304811
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.37 | Tmax = 0.119935
 HL = 7.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = Inf
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.24 | Tmax = 0.242017
 HL = 5.000 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.744369
 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 1.259159
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 1.667484
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.33 | Tmax = 0.162947
 HL = 15.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.51 | Tmax = 3.020477
 HL = 18.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 3.558250
 HL = 10.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = 2.486949
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.007 | alpha = 1.41 | Tmax = 0.233974
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.010 | alpha = 1.38 | Tmax = 0.203008
 HL = 10.000 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 1.473379
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.45 | Tmax = 1.535525
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.39 | Tmax = 0.461609
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.148661
 HL = 7.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 0.089331
 HL = 18.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.50 | Tmax = 4.101087
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.55 | Tmax = 0.150122
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = 0.568772
 HL = 15.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 1.549307
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.46 | Tmax = 0.055687
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.46 | Tmax = 0.153544
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.624495
 HL = 18.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 4.354458
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.56 | Tmax = 0.179896
 HL = 18.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 2.000827
 HL = 18.000 | t1//t0 = 9.000 | l1//l0 = 0.050 | alpha = 1.56 | Tmax = 1.952924
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.54 | Tmax = 0.856728
 HL = 15.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 2.937317
